"variable_uri","so_uri","date","value","so_name","rdf_type","experiment_uri","variable_name"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-1-PL2","2019-06-17",0,"B_Fer-RIB-RES-1-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL1","2019-06-17",3,"B_Fer-RIB-RES-2-PL1","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL1","2019-06-19",13,"B_Fer-RIB-RES-2-PL1","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL1","2019-07-17",19,"B_Fer-RIB-RES-2-PL1","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL1","2019-07-10",14,"B_Fer-RIB-RES-2-PL1","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-2-PL3","2019-08-27",4,"B_Fer-RIB-INT-2-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-3-PL1","2019-08-27",1,"B_Fer-RIB-INT-3-PL1","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL1","2019-09-24",6,"B_Fer-RIB-INT-1-PL1","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-07-10",12,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-2-PL3","2019-07-17",19,"B_Fer-RIB-INT-2-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL2","2019-08-27",2,"B_Fer-RIB-RES-2-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
