"uri.URI","type.Type","name.Nom","geometry.geometry","rdfs.comment.Description","vocabulary.hasCreationDate.Date.de.création","vocabulary.hasDestructionDate.Date.de.destruction","vocabulary.hasFactorLevel.Modalité.de.facteur","vocabulary.hasGermplasm.Matériel.génétique","vocabulary.isHosted.Est.accueillie","vocabulary.isPartOf.Est.une.partie.de","NA.NA","NA.NA.1","NA.NA.2"
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/112","vocabulary:SubPlot",112,"LINESTRING (0.4166944 44.3316769, 0.4167803 44.3317301)","Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13 Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/113","vocabulary:SubPlot",113,"LINESTRING (0.4168089 44.3317478, 0.4168949 44.331801)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/114","vocabulary:SubPlot",114,"LINESTRING (0.4169235 44.3318188, 0.4170095 44.331872)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/115","vocabulary:SubPlot",115,"LINESTRING (0.4163998 44.3314232, 0.4164857 44.3314764)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/116","vocabulary:SubPlot",116,"LINESTRING (0.4165143 44.3314942, 0.4166003 44.3315474)","Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5 Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/117","vocabulary:SubPlot",117,"LINESTRING (0.4166289 44.3315651, 0.4167148 44.3316183)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/118","vocabulary:SubPlot",118,"LINESTRING (0.4167435 44.3316361, 0.4168294 44.3316893)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13 Variété : Spu
Porte-Greffe : Ish
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/119","vocabulary:SubPlot",119,"LINESTRING (0.4168581 44.331707, 0.416944 44.3317602)","Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17 Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/12","vocabulary:SubPlot",12,"LINESTRING (0.4160882 44.3325127, 0.4161741 44.3325659)","Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21 Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/120","vocabulary:SubPlot",120,"LINESTRING (0.4169727 44.3317779, 0.4170586 44.3318311)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
