"","so_uri","date","variable_uri","value","so_name","rdf_type","experiment_uri"
"23","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL2","2019-07-17","sixtine:set/variables#variable.richesse-specifique-araignees",3,"B_Fer-RIB-INT-1-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"24","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL2","2019-08-27","sixtine:set/variables#variable.abondance-araignees",3,"B_Fer-RIB-INT-1-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"25","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-06-19","sixtine:set/variables#variable.richesse-specifique-araignees",1,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"26","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-07-17","sixtine:set/variables#variable.richesse-specifique-araignees",5,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"27","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-09-24","sixtine:set/variables#variable.abondance-araignees",3,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"28","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-06-19","sixtine:set/variables#variable.abondance-araignees",1,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"29","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-06-17","sixtine:set/variables#variable.richesse-specifique-araignees",0,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"30","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-07-17","sixtine:set/variables#variable.abondance-araignees",9,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"31","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-06-17","sixtine:set/variables#variable.abondance-araignees",0,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"32","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-09-24","sixtine:set/variables#variable.richesse-specifique-araignees",1,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"33","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-08-27","sixtine:set/variables#variable.richesse-specifique-araignees",2,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"34","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-07-10","sixtine:set/variables#variable.abondance-araignees",5,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"35","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-08-27","sixtine:set/variables#variable.abondance-araignees",3,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"36","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-07-10","sixtine:set/variables#variable.richesse-specifique-araignees",5,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"37","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-07-17","sixtine:set/variables#variable.abondance-araignees",15,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"38","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-09-24","sixtine:set/variables#variable.richesse-specifique-araignees",3,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"39","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-07-17","sixtine:set/variables#variable.richesse-specifique-araignees",2,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"40","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-06-19","sixtine:set/variables#variable.abondance-araignees",4,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"41","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-06-19","sixtine:set/variables#variable.richesse-specifique-araignees",2,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"42","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-06-17","sixtine:set/variables#variable.abondance-araignees",1,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"43","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-08-27","sixtine:set/variables#variable.abondance-araignees",1,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"44","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-06-17","sixtine:set/variables#variable.richesse-specifique-araignees",1,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"45","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-08-27","sixtine:set/variables#variable.richesse-specifique-araignees",1,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"46","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-09-24","sixtine:set/variables#variable.abondance-araignees",3,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"47","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-07-10","sixtine:set/variables#variable.abondance-araignees",12,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"48","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL4","2019-07-10","sixtine:set/variables#variable.richesse-specifique-araignees",7,"B_Fer-RIB-INT-1-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"49","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-08-27","sixtine:set/variables#variable.abondance-araignees",1,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"50","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-09-24","sixtine:set/variables#variable.richesse-specifique-araignees",2,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"51","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-06-19","sixtine:set/variables#variable.abondance-araignees",3,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"52","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-07-17","sixtine:set/variables#variable.richesse-specifique-araignees",4,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"53","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-08-27","sixtine:set/variables#variable.richesse-specifique-araignees",1,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"54","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-06-17","sixtine:set/variables#variable.abondance-araignees",1,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"55","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-06-19","sixtine:set/variables#variable.richesse-specifique-araignees",3,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"56","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-09-24","sixtine:set/variables#variable.abondance-araignees",3,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"57","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-07-10","sixtine:set/variables#variable.abondance-araignees",1,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"58","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-07-10","sixtine:set/variables#variable.richesse-specifique-araignees",1,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"59","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-07-17","sixtine:set/variables#variable.abondance-araignees",6,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"60","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL5","2019-06-17","sixtine:set/variables#variable.richesse-specifique-araignees",1,"B_Fer-RIB-INT-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
"61","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-2-PL1","2019-09-24","sixtine:set/variables#variable.abondance-araignees",3,"B_Fer-RIB-INT-2-PL1","vocabulary:SubPlot","sixtine:set/experiments#resintbio"
