"variable_uri","so_uri","date","value","so_name","rdf_type","experiment_uri","variable_name"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000017","2019-05-09T16:30:00.000+0200","non","1_PCC9432ax_n21","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2019-2","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000004","2019-07-22T16:00:00.000+0200","oui (R17, R18)","PMC728.11nax_n14","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000014","2019-08-08T12:00:00.000+0200","oui (R20, R23)","PMC728.11nax_n24","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000019","2019-06-04T12:30:00.000+0200","non","1_PCC9432ax_n23","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2019-2","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000019","2019-05-10T12:30:00.000+0200","non","1_PCC9432ax_n23","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2019-2","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000004","2019-07-19T16:00:00.000+0200","oui (R17, R18)","PMC728.11nax_n14","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000005","2019-08-29T18:30:00.000+0200","oui (R13,R16)","PCC9432ax_n15","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000005","2019-08-02T12:30:00.000+0200","oui (R13,R16)","PCC9432ax_n15","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000004","2019-08-08T12:00:00.000+0200","oui (R17, R18)","PMC728.11nax_n14","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000003","2019-07-26T16:30:00.000+0200","oui (R15, R16)","PCC9432ax_n13","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000017","2019-05-13T12:30:00.000+0200","non","1_PCC9432ax_n21","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2019-2","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000014","2019-07-18T16:00:00.000+0200","oui (R20, R23)","PMC728.11nax_n24","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000006","2019-07-30T12:30:00.000+0200","oui (R15, R13)","PCC9432ax_n16","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000004","2019-07-17T16:30:00.000+0200","oui (R17, R18)","PMC728.11nax_n14","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000007","2019-08-22T12:30:00.000+0200","oui (R14, R18)","PMC728.11nax_n17","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000016","2019-04-22T12:20:00.000+0200","non","1_PCC9432ax_n20","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2019-2","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000016","2019-05-03T12:00:00.000+0200","non","1_PCC9432ax_n20","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2019-2","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000019","2019-05-02T12:00:00.000+0200","non","1_PCC9432ax_n23","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2019-2","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000020","2019-05-31T12:30:00.000+0200","non","1_PCC9432ax_n24","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2019-2","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000018","2019-05-28T12:30:00.000+0200","non","1_PCC9432ax_n22","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2019-2","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000010","2019-08-07T12:00:00.000+0200","oui (R23, R24) ","PMC728.11nax_n20","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000009","2019-07-31T14:00:00.000+0200","oui (R21, R22)","PCC9432ax_n19","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000014","2019-07-22T16:00:00.000+0200","oui (R20, R23)","PMC728.11nax_n24","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000014","2019-08-22T12:30:00.000+0200","oui (R20, R23)","PMC728.11nax_n24","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
"http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/2020/o20000011","2019-08-19T16:30:00.000+0200","oui (R19, R22)","PCC9432ax_n21","http://www.opensilex.org/vocabulary/oeso-weis#Process","http://www.opensilex.org/weis/WS2017-1","Replication_/NA/_Oui(tub1, tub2)/non"
